latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.581722,-8.441559,193.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_hours (h)
2023-01-01,13.9,8.9,24.0
2023-01-02,12.2,5.4,4.0
2023-01-03,12.6,2.2,0.0
2023-01-04,14.2,2.8,0.0
2023-01-05,13.9,3.0,0.0
2023-01-06,11.8,3.3,6.0
2023-01-07,13.3,10.6,21.0
2023-01-08,14.1,10.0,20.0
2023-01-09,12.7,7.6,0.0
2023-01-10,13.3,9.1,14.0
2023-01-11,14.1,5.8,5.0
2023-01-12,12.2,4.0,3.0
2023-01-13,15.0,9.3,0.0
2023-01-14,13.0,11.6,14.0
2023-01-15,12.0,5.6,4.0
2023-01-16,12.1,9.8,24.0
2023-01-17,11.9,3.8,21.0
2023-01-18,8.5,1.9,10.0
2023-01-19,11.4,2.2,16.0
2023-01-20,14.4,9.8,7.0
2023-01-21,15.0,6.2,0.0
2023-01-22,11.7,2.6,0.0
2023-01-23,11.2,-0.8,0.0
2023-01-24,11.7,-1.7,0.0
2023-01-25,11.0,-0.2,0.0
2023-01-26,11.0,0.3,0.0
2023-01-27,11.5,2.7,0.0
2023-01-28,11.6,1.0,0.0
2023-01-29,11.3,-0.9,0.0
2023-01-30,11.1,0.1,0.0
2023-01-31,12.5,-2.3,0.0
2023-02-01,13.2,1.0,0.0
2023-02-02,14.0,2.5,0.0
2023-02-03,15.8,-0.1,0.0
2023-02-04,16.4,-0.4,0.0
2023-02-05,16.6,1.6,0.0
2023-02-06,16.2,1.7,0.0
2023-02-07,14.3,3.9,1.0
2023-02-08,13.5,5.9,2.0
2023-02-09,14.6,3.7,0.0
2023-02-10,13.7,5.1,0.0
2023-02-11,13.3,4.0,0.0
2023-02-12,14.1,5.0,0.0
2023-02-13,16.7,7.2,0.0
2023-02-14,16.6,6.6,0.0
2023-02-15,18.3,7.7,0.0
2023-02-16,18.4,4.2,0.0
2023-02-17,20.0,5.4,0.0
2023-02-18,18.6,6.8,0.0
2023-02-19,19.9,6.1,0.0
2023-02-20,19.7,8.2,1.0
2023-02-21,15.0,7.5,9.0
2023-02-22,14.0,7.2,6.0
2023-02-23,10.4,2.2,3.0
2023-02-24,10.5,-1.8,3.0
2023-02-25,9.1,2.2,8.0
2023-02-26,14.2,0.4,0.0
2023-02-27,12.3,2.5,0.0
2023-02-28,11.6,-0.4,0.0
2023-03-01,11.1,-1.6,0.0
2023-03-02,13.2,-1.5,0.0
2023-03-03,14.2,-1.1,0.0
2023-03-04,16.3,1.8,0.0
2023-03-05,11.2,5.1,16.0
2023-03-06,13.0,8.8,19.0
2023-03-07,14.9,10.3,19.0
2023-03-08,14.0,12.5,24.0
2023-03-09,15.2,11.4,24.0
2023-03-10,15.0,12.0,18.0
2023-03-11,16.0,12.4,17.0
2023-03-12,17.6,9.2,5.0
2023-03-13,15.3,7.6,12.0
2023-03-14,15.0,6.1,4.0
2023-03-15,19.5,3.2,0.0
2023-03-16,17.6,6.3,9.0
2023-03-17,14.0,9.0,22.0
2023-03-18,15.3,7.1,15.0
2023-03-19,17.8,4.6,0.0
2023-03-20,19.1,4.8,0.0
2023-03-21,16.8,7.8,0.0
2023-03-22,14.9,8.8,5.0
2023-03-23,13.9,11.8,15.0
2023-03-24,15.9,8.7,6.0
2023-03-25,15.5,5.3,7.0
2023-03-26,15.8,6.3,0.0
2023-03-27,20.4,2.8,0.0
2023-03-28,22.1,7.8,0.0
2023-03-29,20.8,11.5,5.0
2023-03-30,17.0,12.6,20.0
2023-03-31,16.0,10.1,9.0
2023-04-01,16.3,9.1,15.0
