time,cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),is_day (),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²)
2021-01-01T00:00,1,0,1,0,0,0.0,0.0,0.0,0.0
2021-01-01T01:00,1,0,1,0,0,0.0,0.0,0.0,0.0
2021-01-01T02:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-01T03:00,7,3,7,0,0,0.0,0.0,0.0,0.0
2021-01-01T04:00,15,8,13,0,0,0.0,0.0,0.0,0.0
2021-01-01T05:00,34,18,27,6,0,0.0,0.0,0.0,0.0
2021-01-01T06:00,45,23,34,14,0,0.0,0.0,0.0,0.0
2021-01-01T07:00,85,62,34,28,0,0.0,0.0,0.0,0.0
2021-01-01T08:00,83,67,26,23,0,0.0,0.0,0.0,0.0
2021-01-01T09:00,34,23,21,3,1,60.6,23.8,36.8,167.0
2021-01-01T10:00,53,34,22,32,1,159.7,79.2,80.5,289.2
2021-01-01T11:00,2,1,2,0,1,285.1,179.5,105.6,486.7
2021-01-01T12:00,91,92,14,0,1,381.2,285.1,96.1,677.3
2021-01-01T13:00,34,31,9,2,1,295.3,164.6,130.7,385.6
2021-01-01T14:00,71,34,68,0,1,287.0,182.5,104.4,472.8
2021-01-01T15:00,61,28,38,43,1,205.7,125.9,79.9,417.6
2021-01-01T16:00,46,12,38,42,1,97.0,53.7,43.4,300.5
2021-01-01T17:00,48,23,33,25,1,13.2,6.2,7.0,71.4
2021-01-01T18:00,28,9,22,21,0,0.0,0.0,0.0,0.0
2021-01-01T19:00,12,4,14,0,0,0.0,0.0,0.0,0.0
2021-01-01T20:00,2,0,4,0,0,0.0,0.0,0.0,0.0
2021-01-01T21:00,2,0,4,0,0,0.0,0.0,0.0,0.0
2021-01-01T22:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-01T23:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T00:00,1,0,1,0,0,0.0,0.0,0.0,0.0
2021-01-02T01:00,3,2,2,0,0,0.0,0.0,0.0,0.0
2021-01-02T02:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T03:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T04:00,1,0,0,4,0,0.0,0.0,0.0,0.0
2021-01-02T05:00,1,0,0,2,0,0.0,0.0,0.0,0.0
2021-01-02T06:00,2,2,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T07:00,5,6,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T08:00,13,14,1,0,0,0.0,0.0,0.0,0.0
2021-01-02T09:00,11,11,2,0,1,84.5,43.3,41.1,303.6
2021-01-02T10:00,5,5,1,0,1,197.4,109.1,88.3,397.9
2021-01-02T11:00,11,11,2,0,1,325.0,234.1,90.9,633.4
2021-01-02T12:00,10,11,0,0,1,377.1,285.2,91.9,675.7
2021-01-02T13:00,1,1,0,0,1,378.3,274.5,103.8,640.7
2021-01-02T14:00,16,18,0,0,1,334.3,226.9,107.3,584.9
2021-01-02T15:00,42,46,1,0,1,268.6,202.5,66.1,667.1
2021-01-02T16:00,0,0,0,0,1,155.7,114.4,41.3,632.2
2021-01-02T17:00,0,0,0,0,1,20.2,13.0,7.2,149.6
2021-01-02T18:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T19:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T20:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T21:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T22:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-02T23:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-03T00:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-03T01:00,1,0,1,0,0,0.0,0.0,0.0,0.0
2021-01-03T02:00,16,0,27,0,0,0.0,0.0,0.0,0.0
2021-01-03T03:00,1,0,1,0,0,0.0,0.0,0.0,0.0
2021-01-03T04:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-03T05:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-03T06:00,3,1,3,0,0,0.0,0.0,0.0,0.0
2021-01-03T07:00,18,13,11,0,0,0.0,0.0,0.0,0.0
2021-01-03T08:00,25,16,17,0,0,0.0,0.0,0.0,0.0
2021-01-03T09:00,31,19,23,0,1,86.6,49.8,36.8,348.8
2021-01-03T10:00,39,23,31,0,1,197.5,131.2,66.3,477.7
2021-01-03T11:00,28,12,29,0,1,287.6,205.7,81.8,555.4
2021-01-03T12:00,54,39,32,0,1,348.7,251.5,97.2,594.0
2021-01-03T13:00,55,50,17,0,1,307.6,204.7,102.9,476.0
2021-01-03T14:00,68,70,7,1,1,301.5,205.4,96.1,526.7
2021-01-03T15:00,76,84,1,0,1,189.7,101.8,87.9,332.9
2021-01-03T16:00,72,37,65,0,1,67.4,22.2,45.2,121.2
2021-01-03T17:00,100,59,99,0,1,10.8,4.5,6.2,52.0
2021-01-03T18:00,100,82,83,0,0,0.0,0.0,0.0,0.0
2021-01-03T19:00,74,44,58,0,0,0.0,0.0,0.0,0.0
2021-01-03T20:00,76,49,54,0,0,0.0,0.0,0.0,0.0
2021-01-03T21:00,36,11,44,0,0,0.0,0.0,0.0,0.0
2021-01-03T22:00,20,8,22,0,0,0.0,0.0,0.0,0.0
2021-01-03T23:00,16,10,12,0,0,0.0,0.0,0.0,0.0
2021-01-04T00:00,21,13,16,0,0,0.0,0.0,0.0,0.0
2021-01-04T01:00,31,14,30,0,0,0.0,0.0,0.0,0.0
2021-01-04T02:00,100,100,37,0,0,0.0,0.0,0.0,0.0
2021-01-04T03:00,100,100,37,0,0,0.0,0.0,0.0,0.0
2021-01-04T04:00,47,40,19,0,0,0.0,0.0,0.0,0.0
2021-01-04T05:00,29,20,18,0,0,0.0,0.0,0.0,0.0
2021-01-04T06:00,52,26,48,0,0,0.0,0.0,0.0,0.0
2021-01-04T07:00,52,21,55,0,0,0.0,0.0,0.0,0.0
2021-01-04T08:00,59,16,75,0,0,0.0,0.0,0.0,0.0
2021-01-04T09:00,68,18,86,0,1,65.0,19.5,45.5,136.2
2021-01-04T10:00,100,100,79,0,1,142.9,40.3,102.7,146.3
2021-01-04T11:00,100,89,60,0,1,269.4,120.5,148.9,324.4
2021-01-04T12:00,53,51,12,0,1,352.0,204.0,148.0,480.3
2021-01-04T13:00,34,24,20,0,1,376.6,260.7,115.9,603.8
2021-01-04T14:00,34,26,18,0,1,321.5,216.9,104.7,553.1
2021-01-04T15:00,39,31,19,0,1,244.0,171.7,72.3,557.1
2021-01-04T16:00,31,21,20,0,1,134.6,87.7,46.8,472.1
2021-01-04T17:00,29,22,16,0,1,21.6,12.0,9.6,137.6
2021-01-04T18:00,2,2,0,0,0,0.0,0.0,0.0,0.0
2021-01-04T19:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-04T20:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-04T21:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-04T22:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-04T23:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T00:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T01:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T02:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T03:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T04:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T05:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T06:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T07:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T08:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T09:00,0,0,0,0,1,99.6,60.6,39.0,422.5
2021-01-05T10:00,0,0,0,0,1,240.4,179.3,61.1,649.6
2021-01-05T11:00,0,0,0,0,1,358.2,289.9,68.2,778.3
2021-01-05T12:00,0,0,0,0,1,426.1,356.3,69.8,835.8
2021-01-05T13:00,0,0,0,0,1,438.7,370.8,68.0,855.0
2021-01-05T14:00,0,0,0,0,1,395.3,331.2,64.2,840.1
2021-01-05T15:00,0,0,0,0,1,301.0,247.8,53.2,797.9
2021-01-05T16:00,0,0,0,0,1,168.0,128.4,39.6,681.3
2021-01-05T17:00,0,0,0,0,1,26.2,16.7,9.5,192.1
2021-01-05T18:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T19:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T20:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T21:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T22:00,1,1,0,0,0,0.0,0.0,0.0,0.0
2021-01-05T23:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06T00:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06T01:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06T02:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06T03:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06T04:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06T05:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06T06:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06T07:00,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06T08:00,0,0,0,0,0,0.0,0.0,0.0,0.0
