latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),is_day (),sunshine_duration (s),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²)
2021-08-01T00:00,17.0,26,5,5,63,0,0.00,0.0,0.0,0.0
2021-08-01T01:00,16.1,25,0,0,83,0,0.00,0.0,0.0,0.0
2021-08-01T02:00,15.3,26,1,6,70,0,0.00,0.0,0.0,0.0
2021-08-01T03:00,14.9,30,0,0,100,0,0.00,0.0,0.0,0.0
2021-08-01T04:00,14.9,31,0,2,99,1,0.00,15.7,2.6,30.1
2021-08-01T05:00,16.2,31,0,1,100,1,1684.18,106.4,26.2,123.1
2021-08-01T06:00,17.1,30,0,0,100,1,1842.31,195.3,44.1,121.4
2021-08-01T07:00,17.9,39,10,0,100,1,610.80,262.4,40.6,80.4
2021-08-01T08:00,19.3,78,51,3,100,1,2517.27,369.5,90.7,143.9
2021-08-01T09:00,19.9,100,74,30,100,1,223.73,327.0,49.2,67.5
2021-08-01T10:00,20.8,84,29,46,100,1,1379.78,408.3,84.2,106.0
2021-08-01T11:00,21.5,77,27,38,100,1,2231.76,468.1,110.4,134.4
2021-08-01T12:00,20.2,100,18,94,100,1,2008.24,416.4,102.9,126.9
2021-08-01T13:00,20.2,69,15,42,100,1,0.00,239.2,20.3,26.6
2021-08-01T14:00,21.1,52,9,30,86,1,3600.00,366.4,126.5,187.5
2021-08-01T15:00,21.6,34,2,21,66,1,3600.00,415.0,286.6,511.7
2021-08-01T16:00,21.7,19,2,28,0,1,3600.00,302.4,210.5,496.7
2021-08-01T17:00,21.1,41,21,37,0,1,3600.00,158.8,102.2,371.4
2021-08-01T18:00,19.2,63,26,50,31,1,3600.00,53.6,28.1,225.7
2021-08-01T19:00,17.9,100,77,44,43,0,10.95,0.0,0.0,0.0
2021-08-01T20:00,17.0,16,2,23,1,0,0.00,0.0,0.0,0.0
2021-08-01T21:00,16.2,8,0,13,0,0,0.00,0.0,0.0,0.0
2021-08-01T22:00,15.9,10,6,7,0,0,0.00,0.0,0.0,0.0
2021-08-01T23:00,15.5,2,2,0,0,0,0.00,0.0,0.0,0.0
2021-08-02T00:00,15.1,14,5,8,14,0,0.00,0.0,0.0,0.0
2021-08-02T01:00,14.6,19,0,31,0,0,0.00,0.0,0.0,0.0
